Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,1800,153,1800,(X)
Estimate Sex And Age Total Population Male,934,88,51.9,2.5
Estimate Sex And Age Total Population Female,866,90,48.1,2.5
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),107.9,10.8,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,159,53,8.8,2.6
Estimate Sex And Age Total Population 5 To 9 Years,129,40,7.2,2.0
Estimate Sex And Age Total Population 10 To 14 Years,108,34,6.0,1.9
Estimate Sex And Age Total Population 15 To 19 Years,77,24,4.3,1.4
Estimate Sex And Age Total Population 20 To 24 Years,61,30,3.4,1.6
Estimate Sex And Age Total Population 25 To 34 Years,174,43,9.7,2.2
Estimate Sex And Age Total Population 35 To 44 Years,204,49,11.3,2.4
Estimate Sex And Age Total Population 45 To 54 Years,142,45,7.9,2.4
Estimate Sex And Age Total Population 55 To 59 Years,86,24,4.8,1.3
Estimate Sex And Age Total Population 60 To 64 Years,182,64,10.1,3.3
Estimate Sex And Age Total Population 65 To 74 Years,226,36,12.6,2.3
Estimate Sex And Age Total Population 75 To 84 Years,131,39,7.3,2.3
Estimate Sex And Age Total Population 85 Years And Over,121,53,6.7,2.9
Estimate Sex And Age Total Population Median Age (Years),44.3,6.0,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,453,77,25.2,3.1
Estimate Sex And Age Total Population 16 Years And Over,1367,109,75.9,3.0
Estimate Sex And Age Total Population 18 Years And Over,1347,110,74.8,3.1
Estimate Sex And Age Total Population 21 Years And Over,1318,106,73.2,3.1
Estimate Sex And Age Total Population 62 Years And Over,577,75,32.1,4.2
Estimate Sex And Age Total Population 65 Years And Over,478,63,26.6,3.9
Estimate Sex And Age Total Population 18 Years And Over,1347,110,1347,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,664,64,49.3,2.6
Estimate Sex And Age Total Population 18 Years And Over Female,683,66,50.7,2.6
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),97.2,10.0,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,478,63,478,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,234,40,49.0,4.8
Estimate Sex And Age Total Population 65 Years And Over Female,244,38,51.0,4.8
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),95.9,17.9,(X),(X)
Estimate Race Total Population,1800,153,1800,(X)
Estimate Race Total Population One Race,1775,150,98.6,1.5
Estimate Race Total Population Two Or More Races,25,28,1.4,1.5
Estimate Race Total Population One Race,1775,150,98.6,1.5
Estimate Race Total Population One Race White,1767,151,98.2,1.8
Estimate Race Total Population One Race Black Or African American,0,10,0.0,1.2
Estimate Race Total Population One Race American Indian And Alaska Native,8,11,0.4,0.6
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,10,0.0,1.2
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,10,0.0,1.2
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,10,0.0,1.2
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,10,0.0,1.2
Estimate Race Total Population One Race Asian,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Asian Indian,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Chinese,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Filipino,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Japanese,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Korean,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Vietnamese,0,10,0.0,1.2
Estimate Race Total Population One Race Asian Other Asian,0,10,0.0,1.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,10,0.0,1.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,10,0.0,1.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,10,0.0,1.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,10,0.0,1.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,10,0.0,1.2
Estimate Race Total Population One Race Some Other Race,0,10,0.0,1.2
Estimate Race Total Population Two Or More Races,25,28,1.4,1.5
Estimate Race Total Population Two Or More Races White And Black Or African American,0,10,0.0,1.2
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,25,28,1.4,1.5
Estimate Race Total Population Two Or More Races White And Asian,0,10,0.0,1.2
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,10,0.0,1.2
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,1800,153,1800,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,1792,154,99.6,0.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,0,10,0.0,1.2
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,33,32,1.8,1.8
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,0,10,0.0,1.2
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,10,0.0,1.2
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population,1800,153,1800,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,1800,153,100.0,1.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,1767,151,98.2,1.8
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,8,11,0.4,0.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Native Hawaiian And Other Pacific Islander Alone,0,10,0.0,1.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Some Other Race Alone,0,10,0.0,1.2
