Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,1512,425,1512,(X)
Estimate Sex And Age Total Population Male,709,200,46.9,6.5
Estimate Sex And Age Total Population Female,803,266,53.1,6.5
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),88.3,23.7,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,190,146,12.6,7.7
Estimate Sex And Age Total Population 5 To 9 Years,113,75,7.5,4.9
Estimate Sex And Age Total Population 10 To 14 Years,65,51,4.3,3.3
Estimate Sex And Age Total Population 15 To 19 Years,104,72,6.9,4.0
Estimate Sex And Age Total Population 20 To 24 Years,118,84,7.8,4.9
Estimate Sex And Age Total Population 25 To 34 Years,130,83,8.6,5.0
Estimate Sex And Age Total Population 35 To 44 Years,181,97,12.0,5.0
Estimate Sex And Age Total Population 45 To 54 Years,193,93,12.8,5.7
Estimate Sex And Age Total Population 55 To 59 Years,16,19,1.1,1.2
Estimate Sex And Age Total Population 60 To 64 Years,111,75,7.3,4.9
Estimate Sex And Age Total Population 65 To 74 Years,184,94,12.2,6.3
Estimate Sex And Age Total Population 75 To 84 Years,71,68,4.7,4.3
Estimate Sex And Age Total Population 85 Years And Over,36,35,2.4,2.2
Estimate Sex And Age Total Population Median Age (Years),37.5,12.5,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,459,206,30.4,8.0
Estimate Sex And Age Total Population 16 Years And Over,1144,315,75.7,8.7
Estimate Sex And Age Total Population 18 Years And Over,1053,278,69.6,8.0
Estimate Sex And Age Total Population 21 Years And Over,1040,272,68.8,8.1
Estimate Sex And Age Total Population 62 Years And Over,342,150,22.6,9.4
Estimate Sex And Age Total Population 65 Years And Over,291,140,19.2,8.8
Estimate Sex And Age Total Population 18 Years And Over,1053,278,1053,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,485,144,46.1,7.6
Estimate Sex And Age Total Population 18 Years And Over Female,568,175,53.9,7.6
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),85.4,27.1,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,291,140,291,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,165,100,56.7,15.1
Estimate Sex And Age Total Population 65 Years And Over Female,126,64,43.3,15.1
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),131.0,86.4,(X),(X)
Estimate Race Total Population,1512,425,1512,(X)
Estimate Race Total Population One Race,1421,401,94.0,6.1
Estimate Race Total Population Two Or More Races,91,98,6.0,6.1
Estimate Race Total Population One Race,1421,401,94.0,6.1
Estimate Race Total Population One Race White,1386,392,91.7,8.0
Estimate Race Total Population One Race Black Or African American,3,7,0.2,0.4
Estimate Race Total Population One Race American Indian And Alaska Native,0,14,0.0,3.1
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,14,0.0,3.1
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,14,0.0,3.1
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,14,0.0,3.1
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,14,0.0,3.1
