Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,1168,180,1168,(X)
Estimate Sex And Age Total Population Male,537,99,46.0,6.4
Estimate Sex And Age Total Population Female,631,133,54.0,6.4
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),85.1,22.6,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,89,71,7.6,5.7
Estimate Sex And Age Total Population 5 To 9 Years,143,90,12.2,7.1
Estimate Sex And Age Total Population 10 To 14 Years,69,30,5.9,2.8
Estimate Sex And Age Total Population 15 To 19 Years,58,38,5.0,3.6
Estimate Sex And Age Total Population 20 To 24 Years,35,37,3.0,3.2
Estimate Sex And Age Total Population 25 To 34 Years,127,80,10.9,6.1
Estimate Sex And Age Total Population 35 To 44 Years,173,70,14.8,6.3
Estimate Sex And Age Total Population 45 To 54 Years,206,110,17.6,8.9
Estimate Sex And Age Total Population 55 To 59 Years,103,56,8.8,4.9
Estimate Sex And Age Total Population 60 To 64 Years,92,59,7.9,4.8
Estimate Sex And Age Total Population 65 To 74 Years,71,44,6.1,4.0
Estimate Sex And Age Total Population 75 To 84 Years,2,5,0.2,0.4
Estimate Sex And Age Total Population 85 Years And Over,0,10,0.0,1.9
Estimate Sex And Age Total Population Median Age (Years),39.4,8.1,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,334,124,28.6,9.0
Estimate Sex And Age Total Population 16 Years And Over,838,149,71.7,9.0
Estimate Sex And Age Total Population 18 Years And Over,834,148,71.4,9.0
Estimate Sex And Age Total Population 21 Years And Over,806,147,69.0,8.2
Estimate Sex And Age Total Population 62 Years And Over,122,60,10.4,5.2
Estimate Sex And Age Total Population 65 Years And Over,73,45,6.3,4.1
Estimate Sex And Age Total Population 18 Years And Over,834,148,834,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,431,92,51.7,6.6
Estimate Sex And Age Total Population 18 Years And Over Female,403,91,48.3,6.6
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),106.9,28.4,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,73,45,73,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,63,41,86.3,11.2
Estimate Sex And Age Total Population 65 Years And Over Female,10,8,13.7,11.2
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),630.0,423.8,(X),(X)
Estimate Race Total Population,1168,180,1168,(X)
Estimate Race Total Population One Race,917,157,78.5,9.1
Estimate Race Total Population Two Or More Races,251,119,21.5,9.1
Estimate Race Total Population One Race,917,157,78.5,9.1
Estimate Race Total Population One Race White,732,154,62.7,9.6
Estimate Race Total Population One Race Black Or African American,0,10,0.0,1.9
Estimate Race Total Population One Race American Indian And Alaska Native,165,72,14.1,6.3
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,10,0.0,1.9
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,10,0.0,1.9
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,10,0.0,1.9
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,10,0.0,1.9
Estimate Race Total Population One Race Asian,13,17,1.1,1.4
Estimate Race Total Population One Race Asian Asian Indian,0,10,0.0,1.9
Estimate Race Total Population One Race Asian Chinese,0,10,0.0,1.9
Estimate Race Total Population One Race Asian Filipino,0,10,0.0,1.9
Estimate Race Total Population One Race Asian Japanese,0,10,0.0,1.9
Estimate Race Total Population One Race Asian Korean,11,15,0.9,1.3
Estimate Race Total Population One Race Asian Vietnamese,0,10,0.0,1.9
Estimate Race Total Population One Race Asian Other Asian,2,8,0.2,0.7
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,10,0.0,1.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,10,0.0,1.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,10,0.0,1.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,10,0.0,1.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,10,0.0,1.9
Estimate Race Total Population One Race Some Other Race,7,16,0.6,1.4
Estimate Race Total Population Two Or More Races,251,119,21.5,9.1
Estimate Race Total Population Two Or More Races White And Black Or African American,0,10,0.0,1.9
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,97,80,8.3,6.4
Estimate Race Total Population Two Or More Races White And Asian,11,24,0.9,2.1
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,10,0.0,1.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,1168,180,1168,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,971,185,83.1,7.0
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,0,10,0.0,1.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,325,135,27.8,9.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,59,48,5.1,4.0
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,10,0.0,1.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,115,62,9.8,5.5
Estimate Hispanic Or Latino And Race Total Population,1168,180,1168,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),118,64,10.1,5.7
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,118,64,10.1,5.7
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,0,10,0.0,1.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,0,10,0.0,1.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,0,10,0.0,1.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,1050,191,89.9,5.7
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,729,155,62.4,9.7
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,0,10,0.0,1.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,165,72,14.1,6.3
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,13,17,1.1,1.4
