Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,1543,550,1543,(X)
Estimate Sex And Age Total Population Male,657,234,42.6,5.8
Estimate Sex And Age Total Population Female,886,344,57.4,5.8
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),74.2,17.6,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,130,85,8.4,4.6
Estimate Sex And Age Total Population 5 To 9 Years,92,58,6.0,3.6
Estimate Sex And Age Total Population 10 To 14 Years,245,181,15.9,7.5
Estimate Sex And Age Total Population 15 To 19 Years,95,81,6.2,4.4
Estimate Sex And Age Total Population 20 To 24 Years,58,47,3.8,2.6
Estimate Sex And Age Total Population 25 To 34 Years,191,111,12.4,6.5
Estimate Sex And Age Total Population 35 To 44 Years,105,58,6.8,4.1
Estimate Sex And Age Total Population 45 To 54 Years,144,157,9.3,8.4
Estimate Sex And Age Total Population 55 To 59 Years,132,97,8.6,5.6
Estimate Sex And Age Total Population 60 To 64 Years,97,52,6.3,4.4
Estimate Sex And Age Total Population 65 To 74 Years,199,116,12.9,8.3
Estimate Sex And Age Total Population 75 To 84 Years,43,35,2.8,2.2
Estimate Sex And Age Total Population 85 Years And Over,12,19,0.8,1.2
Estimate Sex And Age Total Population Median Age (Years),31.5,10.7,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,511,284,33.1,9.4
Estimate Sex And Age Total Population 16 Years And Over,1062,331,68.8,8.4
Estimate Sex And Age Total Population 18 Years And Over,1032,318,66.9,9.4
Estimate Sex And Age Total Population 21 Years And Over,981,301,63.6,10.0
Estimate Sex And Age Total Population 62 Years And Over,329,121,21.3,9.7
Estimate Sex And Age Total Population 65 Years And Over,254,119,16.5,8.4
Estimate Sex And Age Total Population 18 Years And Over,1032,318,1032,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,499,167,48.4,6.2
Estimate Sex And Age Total Population 18 Years And Over Female,533,175,51.6,6.2
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),93.6,23.0,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,254,119,254,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,128,65,50.4,11.4
Estimate Sex And Age Total Population 65 Years And Over Female,126,68,49.6,11.4
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),101.6,47.6,(X),(X)
Estimate Race Total Population,1543,550,1543,(X)
Estimate Race Total Population One Race,1543,550,100.0,1.9
Estimate Race Total Population Two Or More Races,0,11,0.0,1.9
Estimate Race Total Population One Race,1543,550,100.0,1.9
Estimate Race Total Population One Race White,1543,550,100.0,1.9
Estimate Race Total Population One Race Black Or African American,0,11,0.0,1.9
Estimate Race Total Population One Race American Indian And Alaska Native,0,11,0.0,1.9
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,11,0.0,1.9
