Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,271,158,271,(X)
Estimate Sex And Age Total Population Male,135,80,49.8,19.6
Estimate Sex And Age Total Population Female,136,106,50.2,19.6
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),99.3,89.2,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,0,13,0.0,12.9
Estimate Sex And Age Total Population 5 To 9 Years,13,20,4.8,6.0
Estimate Sex And Age Total Population 10 To 14 Years,0,13,0.0,12.9
Estimate Sex And Age Total Population 15 To 19 Years,0,13,0.0,12.9
Estimate Sex And Age Total Population 20 To 24 Years,38,56,14.0,22.5
Estimate Sex And Age Total Population 25 To 34 Years,0,13,0.0,12.9
Estimate Sex And Age Total Population 35 To 44 Years,36,60,13.3,17.3
Estimate Sex And Age Total Population 45 To 54 Years,19,27,7.0,11.2
Estimate Sex And Age Total Population 55 To 59 Years,0,13,0.0,12.9
Estimate Sex And Age Total Population 60 To 64 Years,44,45,16.2,12.5
Estimate Sex And Age Total Population 65 To 74 Years,28,30,10.3,11.0
Estimate Sex And Age Total Population 75 To 84 Years,39,35,14.4,17.6
Estimate Sex And Age Total Population 85 Years And Over,54,85,19.9,25.4
Estimate Sex And Age Total Population Median Age (Years),64.5,14.8,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,13,20,4.8,6.0
Estimate Sex And Age Total Population 16 Years And Over,258,146,95.2,6.0
Estimate Sex And Age Total Population 18 Years And Over,258,146,95.2,6.0
Estimate Sex And Age Total Population 21 Years And Over,258,146,95.2,6.0
Estimate Sex And Age Total Population 62 Years And Over,165,118,60.9,23.5
Estimate Sex And Age Total Population 65 Years And Over,121,85,44.6,19.4
Estimate Sex And Age Total Population 18 Years And Over,258,146,258,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,135,80,52.3,20.4
Estimate Sex And Age Total Population 18 Years And Over Female,123,96,47.7,20.4
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),109.8,103.1,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,121,85,121,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,30,30,24.8,36.1
Estimate Sex And Age Total Population 65 Years And Over Female,91,93,75.2,36.1
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),33.0,89.4,(X),(X)
Estimate Race Total Population,271,158,271,(X)
Estimate Race Total Population One Race,271,158,100.0,12.9
Estimate Race Total Population Two Or More Races,0,13,0.0,12.9
Estimate Race Total Population One Race,271,158,100.0,12.9
Estimate Race Total Population One Race White,271,158,100.0,12.9
Estimate Race Total Population One Race Black Or African American,0,13,0.0,12.9
Estimate Race Total Population One Race American Indian And Alaska Native,0,13,0.0,12.9
