Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,252,90,252,(X)
Estimate Sex And Age Total Population Male,101,29,40.1,11.1
Estimate Sex And Age Total Population Female,151,75,59.9,11.1
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),66.9,30.3,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,9,9,3.6,3.2
Estimate Sex And Age Total Population 5 To 9 Years,37,28,14.7,6.8
Estimate Sex And Age Total Population 10 To 14 Years,15,11,6.0,4.5
Estimate Sex And Age Total Population 15 To 19 Years,26,25,10.3,7.2
Estimate Sex And Age Total Population 20 To 24 Years,3,3,1.2,1.3
Estimate Sex And Age Total Population 25 To 34 Years,17,11,6.7,4.1
Estimate Sex And Age Total Population 35 To 44 Years,28,23,11.1,6.5
Estimate Sex And Age Total Population 45 To 54 Years,44,23,17.5,7.2
Estimate Sex And Age Total Population 55 To 59 Years,20,13,7.9,6.3
Estimate Sex And Age Total Population 60 To 64 Years,8,10,3.2,4.1
Estimate Sex And Age Total Population 65 To 74 Years,27,15,10.7,7.2
Estimate Sex And Age Total Population 75 To 84 Years,18,13,7.1,5.5
Estimate Sex And Age Total Population 85 Years And Over,0,12,0.0,12.1
Estimate Sex And Age Total Population Median Age (Years),38.6,13.7,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,80,54,31.7,12.4
Estimate Sex And Age Total Population 16 Years And Over,173,46,68.7,12.5
Estimate Sex And Age Total Population 18 Years And Over,172,45,68.3,12.4
Estimate Sex And Age Total Population 21 Years And Over,164,44,65.1,12.0
Estimate Sex And Age Total Population 62 Years And Over,53,20,21.0,10.4
Estimate Sex And Age Total Population 65 Years And Over,45,17,17.9,8.7
Estimate Sex And Age Total Population 18 Years And Over,172,45,172,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,92,28,53.5,11.2
Estimate Sex And Age Total Population 18 Years And Over Female,80,32,46.5,11.2
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),115.0,47.4,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,45,17,45,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,25,14,55.6,18.7
Estimate Sex And Age Total Population 65 Years And Over Female,20,9,44.4,18.7
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),125.0,80.3,(X),(X)
Estimate Race Total Population,252,90,252,(X)
Estimate Race Total Population One Race,199,52,79.0,13.4
Estimate Race Total Population Two Or More Races,53,49,21.0,13.4
Estimate Race Total Population One Race,199,52,79.0,13.4
Estimate Race Total Population One Race White,185,46,73.4,16.6
Estimate Race Total Population One Race Black Or African American,14,15,5.6,4.7
Estimate Race Total Population One Race American Indian And Alaska Native,0,12,0.0,12.1
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,12,0.0,12.1
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,12,0.0,12.1
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,12,0.0,12.1
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,12,0.0,12.1
Estimate Race Total Population One Race Asian,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Asian Indian,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Chinese,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Filipino,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Japanese,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Korean,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Vietnamese,0,12,0.0,12.1
Estimate Race Total Population One Race Asian Other Asian,0,12,0.0,12.1
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,12,0.0,12.1
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,12,0.0,12.1
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,12,0.0,12.1
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,12,0.0,12.1
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,12,0.0,12.1
Estimate Race Total Population One Race Some Other Race,0,12,0.0,12.1
Estimate Race Total Population Two Or More Races,53,49,21.0,13.4
Estimate Race Total Population Two Or More Races White And Black Or African American,51,49,20.2,14.0
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,1,5,0.4,2.0
Estimate Race Total Population Two Or More Races White And Asian,0,12,0.0,12.1
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,12,0.0,12.1
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,252,90,252,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,238,80,94.4,4.7
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,65,61,25.8,17.1
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,1,5,0.4,2.0
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,0,12,0.0,12.1
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,12,0.0,12.1
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,1,2,0.4,1.0
Estimate Hispanic Or Latino And Race Total Population,252,90,252,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,252,90,100.0,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,185,46,73.4,16.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,14,15,5.6,4.7
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Native Hawaiian And Other Pacific Islander Alone,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Some Other Race Alone,0,12,0.0,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races,53,49,21.0,13.4
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Including Some Other Race,1,2,0.4,1.0
"Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Excluding Some Other Race, And Three Or More Races",52,49,20.6,13.5
Estimate Total Housing Units,105,26,(X),(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population",172,45,172,(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Male",92,28,53.5,11.2
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Female",80,32,46.5,11.2
