Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,174,66,174,(X)
Estimate Sex And Age Total Population Male,99,34,56.9,12.7
Estimate Sex And Age Total Population Female,75,41,43.1,12.7
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),132.0,77.2,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,8,9,4.6,5.5
Estimate Sex And Age Total Population 5 To 9 Years,8,7,4.6,3.6
Estimate Sex And Age Total Population 10 To 14 Years,2,3,1.1,1.7
Estimate Sex And Age Total Population 15 To 19 Years,3,5,1.7,3.0
Estimate Sex And Age Total Population 20 To 24 Years,17,32,9.8,17.6
Estimate Sex And Age Total Population 25 To 34 Years,10,7,5.7,4.0
Estimate Sex And Age Total Population 35 To 44 Years,33,17,19.0,11.3
Estimate Sex And Age Total Population 45 To 54 Years,23,23,13.2,12.7
Estimate Sex And Age Total Population 55 To 59 Years,5,5,2.9,3.2
Estimate Sex And Age Total Population 60 To 64 Years,13,10,7.5,5.5
Estimate Sex And Age Total Population 65 To 74 Years,42,25,24.1,13.5
Estimate Sex And Age Total Population 75 To 84 Years,6,9,3.4,4.9
Estimate Sex And Age Total Population 85 Years And Over,4,7,2.3,4.6
Estimate Sex And Age Total Population Median Age (Years),48.4,10.2,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,20,14,11.5,7.3
Estimate Sex And Age Total Population 16 Years And Over,155,61,89.1,7.1
Estimate Sex And Age Total Population 18 Years And Over,154,60,88.5,7.3
Estimate Sex And Age Total Population 21 Years And Over,143,49,82.2,12.2
Estimate Sex And Age Total Population 62 Years And Over,63,31,36.2,15.1
Estimate Sex And Age Total Population 65 Years And Over,52,27,29.9,13.6
Estimate Sex And Age Total Population 18 Years And Over,154,60,154,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,85,30,55.2,13.3
Estimate Sex And Age Total Population 18 Years And Over Female,69,39,44.8,13.3
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),123.2,76.5,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,52,27,52,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,28,16,53.8,18.2
Estimate Sex And Age Total Population 65 Years And Over Female,24,16,46.2,18.2
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),116.7,100.2,(X),(X)
Estimate Race Total Population,174,66,174,(X)
Estimate Race Total Population One Race,148,54,85.1,16.8
Estimate Race Total Population Two Or More Races,26,32,14.9,16.8
Estimate Race Total Population One Race,148,54,85.1,16.8
Estimate Race Total Population One Race White,140,48,80.5,17.9
Estimate Race Total Population One Race Black Or African American,0,11,0.0,14.6
Estimate Race Total Population One Race American Indian And Alaska Native,0,11,0.0,14.6
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,11,0.0,14.6
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,11,0.0,14.6
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,11,0.0,14.6
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,11,0.0,14.6
Estimate Race Total Population One Race Asian,3,4,1.7,2.5
Estimate Race Total Population One Race Asian Asian Indian,0,11,0.0,14.6
Estimate Race Total Population One Race Asian Chinese,0,11,0.0,14.6
Estimate Race Total Population One Race Asian Filipino,0,11,0.0,14.6
Estimate Race Total Population One Race Asian Japanese,3,4,1.7,2.5
Estimate Race Total Population One Race Asian Korean,0,11,0.0,14.6
Estimate Race Total Population One Race Asian Vietnamese,0,11,0.0,14.6
Estimate Race Total Population One Race Asian Other Asian,0,11,0.0,14.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,11,0.0,14.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,11,0.0,14.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,11,0.0,14.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,11,0.0,14.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,11,0.0,14.6
Estimate Race Total Population One Race Some Other Race,5,11,2.9,6.0
Estimate Race Total Population Two Or More Races,26,32,14.9,16.8
Estimate Race Total Population Two Or More Races White And Black Or African American,0,11,0.0,14.6
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,0,11,0.0,14.6
Estimate Race Total Population Two Or More Races White And Asian,0,11,0.0,14.6
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,11,0.0,14.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,174,66,174,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,166,60,95.4,6.3
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,0,11,0.0,14.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,0,11,0.0,14.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,3,4,1.7,2.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,11,0.0,14.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,31,37,17.8,18.6
Estimate Hispanic Or Latino And Race Total Population,174,66,174,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),5,11,2.9,5.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,5,11,2.9,5.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,0,11,0.0,14.6
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,0,11,0.0,14.6
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,0,11,0.0,14.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,169,61,97.1,5.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,140,48,80.5,17.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,0,11,0.0,14.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,0,11,0.0,14.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,3,4,1.7,2.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Native Hawaiian And Other Pacific Islander Alone,0,11,0.0,14.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Some Other Race Alone,5,11,2.9,6.0
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races,21,30,12.1,17.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Including Some Other Race,21,30,12.1,17.2
"Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Excluding Some Other Race, And Three Or More Races",0,11,0.0,14.6
Estimate Total Housing Units,214,34,(X),(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population",154,60,154,(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Male",85,30,55.2,13.3
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Female",69,39,44.8,13.3
