Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,136,70,136,(X)
Estimate Sex And Age Total Population Male,59,36,43.4,15.1
Estimate Sex And Age Total Population Female,77,45,56.6,15.1
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),76.6,50.3,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 5 To 9 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 10 To 14 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 15 To 19 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 20 To 24 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 25 To 34 Years,6,10,4.4,7.2
Estimate Sex And Age Total Population 35 To 44 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 45 To 54 Years,8,13,5.9,9.7
Estimate Sex And Age Total Population 55 To 59 Years,26,24,19.1,15.9
Estimate Sex And Age Total Population 60 To 64 Years,13,14,9.6,8.3
Estimate Sex And Age Total Population 65 To 74 Years,68,41,50.0,20.4
Estimate Sex And Age Total Population 75 To 84 Years,8,16,5.9,11.3
Estimate Sex And Age Total Population 85 Years And Over,7,11,5.1,7.4
Estimate Sex And Age Total Population Median Age (Years),65.9,4.1,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,0,11,0.0,18.2
Estimate Sex And Age Total Population 16 Years And Over,136,70,100.0,18.2
Estimate Sex And Age Total Population 18 Years And Over,136,70,100.0,18.2
Estimate Sex And Age Total Population 21 Years And Over,136,70,100.0,18.2
Estimate Sex And Age Total Population 62 Years And Over,89,50,65.4,17.9
Estimate Sex And Age Total Population 65 Years And Over,83,49,61.0,21.6
Estimate Sex And Age Total Population 18 Years And Over,136,70,136,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,59,36,43.4,15.1
Estimate Sex And Age Total Population 18 Years And Over Female,77,45,56.6,15.1
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),76.6,50.3,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,83,49,83,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,41,27,49.4,20.0
Estimate Sex And Age Total Population 65 Years And Over Female,42,31,50.6,20.0
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),97.6,82.8,(X),(X)
Estimate Race Total Population,136,70,136,(X)
Estimate Race Total Population One Race,136,70,100.0,18.2
Estimate Race Total Population Two Or More Races,0,11,0.0,18.2
Estimate Race Total Population One Race,136,70,100.0,18.2
Estimate Race Total Population One Race White,122,67,89.7,11.5
Estimate Race Total Population One Race Black Or African American,9,14,6.6,9.9
Estimate Race Total Population One Race American Indian And Alaska Native,5,8,3.7,5.9
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,11,0.0,18.2
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,5,8,3.7,5.9
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,11,0.0,18.2
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,11,0.0,18.2
Estimate Race Total Population One Race Asian,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Asian Indian,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Chinese,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Filipino,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Japanese,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Korean,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Vietnamese,0,11,0.0,18.2
Estimate Race Total Population One Race Asian Other Asian,0,11,0.0,18.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,11,0.0,18.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,11,0.0,18.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,11,0.0,18.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,11,0.0,18.2
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,11,0.0,18.2
Estimate Race Total Population One Race Some Other Race,0,11,0.0,18.2
Estimate Race Total Population Two Or More Races,0,11,0.0,18.2
Estimate Race Total Population Two Or More Races White And Black Or African American,0,11,0.0,18.2
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,0,11,0.0,18.2
Estimate Race Total Population Two Or More Races White And Asian,0,11,0.0,18.2
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,11,0.0,18.2
