Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,206,72,206,(X)
Estimate Sex And Age Total Population Male,120,47,58.3,9.4
Estimate Sex And Age Total Population Female,86,34,41.7,9.4
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),139.5,54.7,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,0,11,0.0,13.5
Estimate Sex And Age Total Population 5 To 9 Years,14,13,6.8,5.0
Estimate Sex And Age Total Population 10 To 14 Years,20,16,9.7,6.6
Estimate Sex And Age Total Population 15 To 19 Years,18,16,8.7,5.9
Estimate Sex And Age Total Population 20 To 24 Years,10,9,4.9,4.0
Estimate Sex And Age Total Population 25 To 34 Years,3,4,1.5,2.3
Estimate Sex And Age Total Population 35 To 44 Years,35,21,17.0,7.7
Estimate Sex And Age Total Population 45 To 54 Years,18,14,8.7,6.3
Estimate Sex And Age Total Population 55 To 59 Years,10,9,4.9,5.3
Estimate Sex And Age Total Population 60 To 64 Years,31,20,15.0,9.9
Estimate Sex And Age Total Population 65 To 74 Years,39,31,18.9,13.9
Estimate Sex And Age Total Population 75 To 84 Years,8,7,3.9,3.3
Estimate Sex And Age Total Population 85 Years And Over,0,11,0.0,13.5
Estimate Sex And Age Total Population Median Age (Years),47.0,14.5,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,45,33,21.8,11.7
Estimate Sex And Age Total Population 16 Years And Over,169,55,82.0,10.2
Estimate Sex And Age Total Population 18 Years And Over,161,53,78.2,11.7
Estimate Sex And Age Total Population 21 Years And Over,154,52,74.8,14.7
Estimate Sex And Age Total Population 62 Years And Over,56,33,27.2,14.2
Estimate Sex And Age Total Population 65 Years And Over,47,32,22.8,14.0
Estimate Sex And Age Total Population 18 Years And Over,161,53,161,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,101,41,62.7,11.1
Estimate Sex And Age Total Population 18 Years And Over Female,60,24,37.3,11.1
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),168.3,82.7,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,47,32,47,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,34,30,72.3,22.4
Estimate Sex And Age Total Population 65 Years And Over Female,13,9,27.7,22.4
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),261.5,358.8,(X),(X)
Estimate Race Total Population,206,72,206,(X)
Estimate Race Total Population One Race,206,72,100.0,13.5
Estimate Race Total Population Two Or More Races,0,11,0.0,13.5
Estimate Race Total Population One Race,206,72,100.0,13.5
Estimate Race Total Population One Race White,206,72,100.0,13.5
Estimate Race Total Population One Race Black Or African American,0,11,0.0,13.5
Estimate Race Total Population One Race American Indian And Alaska Native,0,11,0.0,13.5
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,11,0.0,13.5
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,11,0.0,13.5
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,11,0.0,13.5
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,11,0.0,13.5
Estimate Race Total Population One Race Asian,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Asian Indian,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Chinese,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Filipino,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Japanese,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Korean,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Vietnamese,0,11,0.0,13.5
Estimate Race Total Population One Race Asian Other Asian,0,11,0.0,13.5
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,11,0.0,13.5
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,11,0.0,13.5
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,11,0.0,13.5
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,11,0.0,13.5
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,11,0.0,13.5
Estimate Race Total Population One Race Some Other Race,0,11,0.0,13.5
Estimate Race Total Population Two Or More Races,0,11,0.0,13.5
Estimate Race Total Population Two Or More Races White And Black Or African American,0,11,0.0,13.5
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,0,11,0.0,13.5
Estimate Race Total Population Two Or More Races White And Asian,0,11,0.0,13.5
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,11,0.0,13.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,206,72,206,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,206,72,100.0,13.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,0,11,0.0,13.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,0,11,0.0,13.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,0,11,0.0,13.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,11,0.0,13.5
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population,206,72,206,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),5,8,2.4,3.8
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,5,8,2.4,3.8
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,201,70,97.6,3.8
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,201,70,97.6,3.8
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Native Hawaiian And Other Pacific Islander Alone,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Some Other Race Alone,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races,0,11,0.0,13.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Including Some Other Race,0,11,0.0,13.5
"Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Excluding Some Other Race, And Three Or More Races",0,11,0.0,13.5
Estimate Total Housing Units,215,50,(X),(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population",161,53,161,(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Male",101,41,62.7,11.1
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Female",60,24,37.3,11.1
