ZCTA,Diagnosed diabetes among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years
15851,0.11900000000000001,0.177,0.038
15853,0.109,0.16,0.036000000000000004
15856,0.121,0.171,0.039
15857,0.10400000000000001,0.151,0.036000000000000004
15860,0.124,0.151,0.04
15861,0.139,0.133,0.046
15863,0.125,0.196,0.04
15864,0.107,0.168,0.034
15865,0.107,0.16899999999999998,0.035
15866,0.10300000000000001,0.18600000000000003,0.034
15868,0.113,0.14300000000000002,0.039
15870,0.10300000000000001,0.152,0.033
15901,0.223,0.213,0.073
15902,0.142,0.2,0.044000000000000004
15904,0.094,0.156,0.033
15905,0.11,0.14800000000000002,0.036000000000000004
15906,0.14800000000000002,0.19899999999999998,0.047
15909,0.115,0.166,0.038
15920,0.10300000000000001,0.153,0.035
15921,0.106,0.174,0.036000000000000004
15922,0.129,0.17600000000000002,0.04
15923,0.10800000000000001,0.166,0.036000000000000004
15924,0.114,0.163,0.038
15925,0.10300000000000001,0.159,0.034
15926,0.11800000000000001,0.159,0.039
15927,0.091,0.16899999999999998,0.03
15928,0.122,0.128,0.045
15929,0.109,0.136,0.044000000000000004
15930,0.10400000000000001,0.151,0.033
15931,0.102,0.156,0.033
15934,0.09300000000000001,0.157,0.032
15935,0.10800000000000001,0.147,0.035
15936,0.11800000000000001,0.16,0.038
15937,0.10800000000000001,0.139,0.04
15938,0.105,0.161,0.034
15940,0.065,0.19,0.019
15942,0.109,0.161,0.035
15943,0.122,0.177,0.04
15944,0.11,0.16399999999999998,0.036000000000000004
15945,0.113,0.16399999999999998,0.037000000000000005
15946,0.107,0.165,0.035
15948,0.09,0.16699999999999998,0.03
15949,0.10800000000000001,0.17,0.035
15951,0.10300000000000001,0.152,0.035
15952,0.096,0.161,0.03
15953,0.094,0.154,0.028999999999999998
15954,0.107,0.159,0.036000000000000004
15955,0.107,0.166,0.035
15956,0.107,0.168,0.035
15957,0.10400000000000001,0.162,0.033
15958,0.107,0.175,0.034
15960,0.12,0.183,0.042
15961,0.11599999999999999,0.16,0.039
15962,0.10099999999999999,0.17800000000000002,0.033
15963,0.115,0.159,0.038
16001,0.10099999999999999,0.154,0.034
16002,0.092,0.14400000000000002,0.03
16020,0.095,0.156,0.031
16022,0.087,0.172,0.027000000000000003
16023,0.115,0.135,0.046
16024,0.079,0.135,0.025
16025,0.1,0.153,0.034
16027,0.073,0.151,0.023
16028,0.126,0.166,0.042
16029,0.095,0.159,0.032
16030,0.08800000000000001,0.165,0.03
16033,0.081,0.141,0.027000000000000003
16034,0.095,0.158,0.031
16035,0.099,0.182,0.028999999999999998
16036,0.128,0.162,0.042
16037,0.084,0.133,0.027000000000000003
16038,0.10800000000000001,0.16399999999999998,0.036000000000000004
16040,0.091,0.162,0.031
16041,0.10800000000000001,0.16,0.035
16045,0.086,0.16,0.028999999999999998
16046,0.065,0.12,0.021
16048,0.099,0.158,0.033
16049,0.109,0.165,0.037000000000000005
16050,0.095,0.163,0.031
16051,0.095,0.151,0.031
16052,0.092,0.14400000000000002,0.03
16053,0.092,0.134,0.03
16054,0.11,0.175,0.035
16055,0.085,0.133,0.028999999999999998
16056,0.096,0.139,0.034
16057,0.062,0.207,0.02
16059,0.08900000000000001,0.126,0.03
16061,0.102,0.159,0.032
16063,0.091,0.127,0.032
16066,0.064,0.127,0.02
16101,0.126,0.175,0.043
16102,0.115,0.174,0.038
16105,0.102,0.142,0.035
