Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,2490,582,2490,(X)
Estimate Sex And Age Total Population Male,1334,427,53.6,8.9
Estimate Sex And Age Total Population Female,1156,297,46.4,8.9
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),115.4,41.0,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,56,61,2.2,2.4
Estimate Sex And Age Total Population 5 To 9 Years,112,83,4.5,3.2
Estimate Sex And Age Total Population 10 To 14 Years,123,87,4.9,3.1
Estimate Sex And Age Total Population 15 To 19 Years,217,106,8.7,3.5
Estimate Sex And Age Total Population 20 To 24 Years,102,79,4.1,3.0
Estimate Sex And Age Total Population 25 To 34 Years,100,73,4.0,2.6
Estimate Sex And Age Total Population 35 To 44 Years,242,130,9.7,5.0
Estimate Sex And Age Total Population 45 To 54 Years,644,325,25.9,10.7
Estimate Sex And Age Total Population 55 To 59 Years,239,122,9.6,4.2
Estimate Sex And Age Total Population 60 To 64 Years,136,90,5.5,3.5
Estimate Sex And Age Total Population 65 To 74 Years,239,118,9.6,5.4
Estimate Sex And Age Total Population 75 To 84 Years,136,70,5.5,3.0
Estimate Sex And Age Total Population 85 Years And Over,144,82,5.8,3.3
Estimate Sex And Age Total Population Median Age (Years),48.1,1.9,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,440,183,17.7,5.4
Estimate Sex And Age Total Population 16 Years And Over,2151,495,86.4,5.2
Estimate Sex And Age Total Population 18 Years And Over,2050,467,82.3,5.4
Estimate Sex And Age Total Population 21 Years And Over,1975,435,79.3,6.1
Estimate Sex And Age Total Population 62 Years And Over,603,150,24.2,7.6
Estimate Sex And Age Total Population 65 Years And Over,519,144,20.8,7.1
Estimate Sex And Age Total Population 18 Years And Over,2050,467,2050,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,1131,366,55.2,8.2
Estimate Sex And Age Total Population 18 Years And Over Female,919,192,44.8,8.2
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),123.1,39.4,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,519,144,519,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,234,106,45.1,13.3
Estimate Sex And Age Total Population 65 Years And Over Female,285,92,54.9,13.3
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),82.1,45.0,(X),(X)
Estimate Race Total Population,2490,582,2490,(X)
Estimate Race Total Population One Race,2386,556,95.8,5.1
Estimate Race Total Population Two Or More Races,104,129,4.2,5.1
Estimate Race Total Population One Race,2386,556,95.8,5.1
Estimate Race Total Population One Race White,2346,546,94.2,5.9
Estimate Race Total Population One Race Black Or African American,40,51,1.6,2.0
