Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,114,61,114,(X)
Estimate Sex And Age Total Population Male,56,38,49.1,11.5
Estimate Sex And Age Total Population Female,58,27,50.9,11.5
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),96.6,45.6,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,0,13,0.0,28.8
Estimate Sex And Age Total Population 5 To 9 Years,9,9,7.9,7.7
Estimate Sex And Age Total Population 10 To 14 Years,9,9,7.9,7.4
Estimate Sex And Age Total Population 15 To 19 Years,0,13,0.0,28.8
Estimate Sex And Age Total Population 20 To 24 Years,12,18,10.5,11.9
Estimate Sex And Age Total Population 25 To 34 Years,9,10,7.9,8.9
Estimate Sex And Age Total Population 35 To 44 Years,10,9,8.8,8.7
Estimate Sex And Age Total Population 45 To 54 Years,2,3,1.8,2.8
Estimate Sex And Age Total Population 55 To 59 Years,9,8,7.9,8.3
Estimate Sex And Age Total Population 60 To 64 Years,30,34,26.3,20.3
Estimate Sex And Age Total Population 65 To 74 Years,8,7,7.0,7.2
Estimate Sex And Age Total Population 75 To 84 Years,12,10,10.5,10.5
Estimate Sex And Age Total Population 85 Years And Over,4,6,3.5,5.8
Estimate Sex And Age Total Population Median Age (Years),58.9,18.5,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,18,18,15.8,14.7
Estimate Sex And Age Total Population 16 Years And Over,96,55,84.2,14.7
Estimate Sex And Age Total Population 18 Years And Over,96,55,84.2,14.7
Estimate Sex And Age Total Population 21 Years And Over,96,55,84.2,14.7
Estimate Sex And Age Total Population 62 Years And Over,34,17,29.8,19.5
Estimate Sex And Age Total Population 65 Years And Over,24,15,21.1,17.5
Estimate Sex And Age Total Population 18 Years And Over,96,55,96,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,42,35,43.8,14.9
Estimate Sex And Age Total Population 18 Years And Over Female,54,25,56.3,14.9
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),77.8,49.2,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,24,15,24,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,9,7,37.5,20.3
Estimate Sex And Age Total Population 65 Years And Over Female,15,11,62.5,20.3
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),60.0,54.2,(X),(X)
