Zip Code,Performance Category,Actual ACP Enrollment,Predicted ACP enrollment,Claimed ACP subscribers,Total Support (in dollars),Total Households,Eligible Households,Wireline Broadband,Cellular Data Only,No Computer,"Income $15,000 or less",Rent Burdened,Population Age 65+,Share of population foreign born,State Code
1013,HIGHEST,3451,1890,2886,96044,9375,5738,66%,19%,10%,14%,49%,16%,11%,25
1032,HIGHEST,19,6,18,540,198,40,59%,5%,2%,7%,20%,26%,0%,25
1072,HIGHEST,38,19,4,220,609,145,63%,7%,5%,4%,47%,25%,4%,25
1096,HIGHEST,51,23,17,660,1058,180,70%,5%,4%,5%,43%,24%,4%,25
1201,HIGHEST,5432,2736,4651,149332,19952,9836,76%,8%,9%,9%,57%,20%,7%,25
1226,HIGHEST,369,177,335,10370,2907,840,77%,6%,8%,4%,50%,25%,4%,25
1236,HIGHEST,46,12,43,1270,704,144,88%,9%,1%,5%,77%,33%,12%,25
1238,HIGHEST,265,102,232,7480,2292,701,81%,5%,4%,3%,45%,29%,6%,25
1240,HIGHEST,143,66,126,3935,2158,477,75%,4%,7%,7%,52%,37%,14%,25
1247,HIGHEST,2016,1034,1648,54672,6527,3440,75%,6%,10%,12%,46%,20%,6%,25
1253,HIGHEST,28,12,19,570,434,81,47%,23%,10%,5%,100%,26%,2%,25
1254,HIGHEST,19,11,17,705,440,75,87%,5%,5%,6%,70%,38%,5%,25
1267,HIGHEST,210,125,168,5370,2541,605,82%,8%,5%,10%,45%,22%,13%,25
1331,HIGHEST,1481,779,1277,51793,5450,2409,78%,8%,8%,8%,58%,19%,4%,25
1341,HIGHEST,38,14,4,220,730,174,83%,2%,2%,2%,27%,29%,3%,25
1346,HIGHEST,24,1,23,740,180,31,37%,33%,11%,3%,0%,34%,3%,25
1355,HIGHEST,40,19,35,1250,413,140,30%,31%,6%,6%,56%,17%,1%,25
1364,HIGHEST,998,553,871,29863,3021,1797,79%,6%,11%,12%,45%,21%,4%,25
1524,HIGHEST,299,176,248,8275,2180,593,80%,4%,6%,1%,26%,14%,5%,25
1534,HIGHEST,243,115,208,6595,2367,322,80%,6%,7%,3%,36%,19%,5%,25
1535,HIGHEST,293,144,242,7665,1883,448,75%,7%,7%,4%,46%,19%,1%,25
1537,HIGHEST,119,59,111,3725,781,199,73%,0%,9%,0%,12%,15%,8%,25
1540,HIGHEST,615,291,540,18719,3988,678,80%,7%,4%,5%,51%,13%,6%,25
1541,HIGHEST,45,8,36,1080,1298,177,69%,8%,2%,3%,41%,21%,4%,25
1568,HIGHEST,150,78,126,3830,2651,225,82%,7%,3%,1%,33%,18%,8%,25
1570,HIGHEST,2030,1045,1789,60317,7414,3403,75%,9%,10%,8%,47%,19%,8%,25
1603,HIGHEST,2971,1609,2571,92025,7496,4842,68%,17%,9%,17%,56%,12%,26%,25
1605,HIGHEST,4886,2836,4399,153556,11626,9092,69%,12%,13%,18%,52%,14%,23%,25
1608,HIGHEST,1071,602,988,34378,1945,1913,74%,14%,7%,23%,63%,3%,30%,25
1609,HIGHEST,2540,1478,2245,78266,8439,5595,70%,11%,12%,18%,61%,15%,24%,25
1610,HIGHEST,4938,2623,4452,156212,8866,8440,62%,18%,11%,25%,60%,8%,31%,25
1611,HIGHEST,143,64,119,4140,783,173,70%,12%,2%,2%,30%,11%,5%,25
1612,HIGHEST,96,40,84,2505,1588,135,83%,6%,5%,2%,22%,16%,14%,25
1718,HIGHEST,5,0,1,0,228,0,100%,0%,0%,1%,8%,4%,38%,25
1741,HIGHEST,32,17,10,350,1800,184,94%,1%,2%,3%,95%,20%,12%,25
1776,HIGHEST,163,95,27,910,6208,422,94%,4%,2%,2%,38%,15%,12%,25
1944,HIGHEST,58,0,4,105,2080,212,89%,5%,0%,3%,46%,23%,6%,25
2030,HIGHEST,18,8,2,60,1916,65,94%,3%,1%,1%,48%,16%,16%,25
2067,HIGHEST,281,15,45,1800,6395,435,88%,5%,5%,2%,44%,18%,22%,25
2071,HIGHEST,5,0,2,160,383,0,100%,0%,0%,0%,0%,10%,6%,25
2109,HIGHEST,80,6,37,2910,1958,366,83%,10%,1%,5%,33%,15%,16%,25
2110,HIGHEST,32,18,14,720,1282,305,93%,4%,0%,14%,43%,37%,21%,25
2142,HIGHEST,71,29,13,590,2077,424,94%,3%,1%,11%,42%,9%,45%,25
2210,HIGHEST,69,0,17,610,3016,308,94%,6%,1%,4%,36%,9%,23%,25
2420,HIGHEST,144,0,36,1180,5374,365,93%,4%,2%,3%,34%,21%,31%,25
2421,HIGHEST,211,63,48,1540,6927,942,92%,3%,3%,5%,45%,21%,33%,25
2445,HIGHEST,305,140,123,3935,9225,2196,88%,6%,2%,6%,41%,16%,25%,25
2458,HIGHEST,177,62,40,1400,4871,828,88%,7%,4%,3%,39%,14%,28%,25
2459,HIGHEST,163,0,30,1199,6268,852,94%,4%,1%,2%,40%,22%,23%,25
2461,HIGHEST,69,4,19,720,2532,301,94%,4%,2%,4%,40%,17%,29%,25
2464,HIGHEST,44,17,5,250,1370,163,93%,5%,1%,2%,39%,14%,33%,25
2467,HIGHEST,178,38,33,1290,6746,1376,88%,6%,3%,6%,47%,16%,33%,25
2468,HIGHEST,17,0,8,240,1873,127,97%,2%,1%,3%,24%,22%,20%,25
2482,HIGHEST,104,25,9,270,3907,465,86%,6%,6%,4%,33%,19%,24%,25
2492,HIGHEST,164,42,26,980,7160,730,93%,2%,3%,3%,52%,18%,13%,25
2494,HIGHEST,120,3,17,710,4100,488,88%,5%,3%,3%,56%,19%,21%,25
2556,HIGHEST,41,19,6,280,1018,121,93%,5%,1%,3%,13%,26%,4%,25
2630,HIGHEST,18,0,3,290,744,51,90%,10%,0%,0%,0%,25%,16%,25
2739,HIGHEST,75,40,12,460,2926,348,79%,14%,2%,3%,36%,27%,4%,25
2839,HIGHEST,61,24,41,1310,589,27,89%,7%,2%,3%,63%,16%,3%,44
2898,HIGHEST,71,31,37,1410,575,107,89%,8%,2%,4%,56%,20%,7%,44
3031,HIGHEST,60,26,12,460,4476,628,92%,4%,2%,2%,28%,18%,5%,33
3032,HIGHEST,23,3,8,340,1989,93,92%,6%,2%,0%,52%,13%,1%,33
3033,HIGHEST,49,0,46,1380,1728,27,94%,2%,2%,1%,34%,8%,3%,33
3049,HIGHEST,61,0,50,1485,3223,201,90%,5%,4%,2%,24%,21%,6%,33
3052,HIGHEST,60,4,15,550,2967,139,91%,4%,1%,0%,57%,16%,4%,33
3087,HIGHEST,60,31,9,369,5283,412,92%,5%,3%,1%,44%,16%,8%,33
3110,HIGHEST,137,0,19,565,8076,882,90%,5%,2%,2%,46%,17%,8%,33
3226,HIGHEST,11,0,9,270,384,72,71%,4%,8%,1%,10%,47%,4%,33
3227,HIGHEST,11,0,4,117,692,108,73%,14%,1%,3%,41%,42%,5%,33
3229,HIGHEST,49,10,6,280,2227,347,77%,7%,5%,1%,22%,17%,2%,33
3234,HIGHEST,79,47,55,1648,1746,300,85%,4%,5%,3%,53%,17%,3%,33
3254,HIGHEST,104,17,91,2690,2007,376,86%,5%,3%,1%,11%,33%,2%,33
3260,HIGHEST,6,0,2,60,377,35,95%,1%,0%,2%,62%,26%,2%,33
3262,HIGHEST,70,29,64,2000,475,133,83%,4%,7%,10%,52%,22%,12%,33
3264,HIGHEST,373,185,327,9759,2179,952,73%,8%,6%,13%,39%,17%,4%,33
3266,HIGHEST,120,53,110,3191,799,324,75%,5%,7%,5%,26%,27%,3%,33
3279,HIGHEST,51,25,45,1360,307,134,66%,8%,7%,7%,61%,30%,0%,33
3287,HIGHEST,17,0,3,190,655,51,91%,7%,2%,1%,28%,21%,6%,33
3304,HIGHEST,43,0,8,284,2802,219,90%,3%,3%,2%,41%,16%,5%,33
3431,HIGHEST,1689,824,1496,45710,9964,4197,78%,6%,9%,9%,45%,18%,4%,33
3446,HIGHEST,332,143,299,9334,2823,925,81%,8%,9%,5%,45%,24%,5%,33
3449,HIGHEST,13,0,2,51,802,138,74%,5%,2%,4%,29%,32%,6%,33
3458,HIGHEST,109,0,16,465,3011,423,75%,10%,5%,4%,22%,27%,4%,33
3570,HIGHEST,1091,611,951,29201,3759,2287,73%,6%,11%,14%,53%,19%,3%,33
3580,HIGHEST,15,2,11,330,527,148,68%,5%,8%,3%,46%,37%,3%,33
3581,HIGHEST,183,32,165,4980,1583,321,78%,4%,7%,3%,24%,29%,1%,33
3582,HIGHEST,228,100,199,6268,913,470,67%,7%,12%,8%,30%,24%,2%,33
3584,HIGHEST,244,113,213,6700,1395,696,73%,8%,9%,6%,29%,21%,2%,33
3598,HIGHEST,196,96,163,4975,1494,676,73%,7%,9%,6%,36%,24%,3%,33
3745,HIGHEST,11,6,4,120,735,161,65%,7%,13%,9%,75%,30%,2%,33
3750,HIGHEST,2,0,1,0,259,57,55%,14%,2%,2%,0%,10%,6%,33
3753,HIGHEST,11,0,4,115,1235,77,77%,18%,0%,0%,16%,21%,1%,33
3765,HIGHEST,13,0,13,390,158,17,100%,0%,0%,0%,0%,22%,10%,33
3766,HIGHEST,233,137,91,3430,4184,1305,74%,12%,9%,8%,41%,20%,7%,33
3779,HIGHEST,18,9,17,509,269,59,75%,5%,7%,4%,60%,18%,4%,33
3781,HIGHEST,10,0,4,120,778,121,78%,8%,2%,5%,48%,24%,4%,33
3784,HIGHEST,84,51,22,810,1802,534,76%,6%,10%,13%,61%,24%,10%,33
3785,HIGHEST,207,104,192,5705,831,544,59%,11%,4%,5%,53%,18%,3%,33
3801,HIGHEST,390,179,67,2246,10851,2201,87%,5%,4%,7%,41%,21%,9%,33
3811,HIGHEST,34,11,7,307,2821,176,81%,11%,2%,3%,36%,22%,3%,33
3816,HIGHEST,43,22,41,1220,567,195,86%,3%,8%,8%,58%,22%,0%,33
3826,HIGHEST,12,7,1,26,1122,140,84%,9%,1%,0%,30%,11%,2%,33
3836,HIGHEST,59,21,52,1555,579,181,83%,2%,5%,6%,81%,33%,2%,33
3844,HIGHEST,29,0,9,265,861,94,88%,7%,4%,4%,18%,19%,12%,33
3845,HIGHEST,20,0,17,510,705,275,81%,2%,4%,0%,79%,43%,0%,33
3849,HIGHEST,47,21,41,1225,459,100,85%,6%,3%,7%,43%,19%,4%,33
3853,HIGHEST,17,0,15,440,363,96,92%,0%,3%,7%,0%,56%,1%,33
3856,HIGHEST,7,3,1,0,637,40,90%,6%,2%,1%,38%,11%,2%,33
3857,HIGHEST,134,65,21,726,4322,1011,82%,10%,3%,3%,40%,16%,3%,33
3864,HIGHEST,86,30,70,2075,730,194,79%,3%,5%,9%,0%,37%,10%,33
3870,HIGHEST,24,0,9,470,2206,310,93%,5%,1%,4%,64%,31%,4%,33
3872,HIGHEST,154,12,123,3850,1674,313,83%,10%,1%,1%,84%,17%,1%,33
3882,HIGHEST,116,59,101,3280,513,264,83%,2%,7%,11%,26%,16%,2%,33
3886,HIGHEST,114,55,105,3171,457,378,80%,2%,8%,4%,69%,23%,1%,33
3907,HIGHEST,16,5,16,480,595,72,85%,5%,5%,2%,0%,52%,6%,23
4009,HIGHEST,442,230,399,12369,2245,727,75%,8%,8%,2%,27%,27%,6%,23
4030,HIGHEST,90,54,80,2764,735,129,76%,11%,0%,6%,57%,14%,4%,23
4088,HIGHEST,114,64,102,3095,532,201,76%,8%,6%,9%,41%,24%,1%,23
4091,HIGHEST,67,34,56,1870,320,130,53%,19%,3%,3%,0%,20%,0%,23
4092,HIGHEST,1521,860,1379,43491,8838,2744,76%,10%,7%,8%,46%,18%,7%,23
4107,HIGHEST,92,38,91,2703,3893,315,90%,4%,4%,4%,39%,24%,5%,23
4110,HIGHEST,16,0,15,450,611,16,100%,0%,0%,2%,81%,19%,5%,23
4239,HIGHEST,468,188,423,13296,1928,416,73%,10%,10%,8%,0%,21%,1%,23
4257,HIGHEST,458,209,396,12558,1136,690,61%,6%,18%,16%,49%,26%,2%,23
4268,HIGHEST,519,272,471,14389,1915,957,72%,7%,11%,7%,76%,21%,2%,23
4276,HIGHEST,897,440,788,24207,2416,1239,64%,10%,16%,15%,48%,21%,1%,23
4281,HIGHEST,565,261,516,15856,2063,1003,66%,13%,14%,11%,75%,31%,2%,23
4345,HIGHEST,841,469,773,23700,4760,1221,77%,10%,6%,8%,40%,18%,2%,23
4346,HIGHEST,187,109,172,5076,792,385,67%,13%,8%,15%,46%,26%,2%,23
4401,HIGHEST,4243,2447,3732,123082,18773,7603,78%,7%,6%,13%,46%,17%,5%,23
4414,HIGHEST,136,67,116,3650,667,270,62%,4%,13%,6%,57%,36%,2%,23
4463,HIGHEST,369,189,307,9704,1153,638,59%,11%,7%,12%,24%,18%,1%,23
4537,HIGHEST,89,44,81,2755,660,169,80%,8%,5%,3%,0%,23%,1%,23
4538,HIGHEST,140,76,127,3731,836,260,76%,3%,6%,15%,34%,40%,4%,23
4555,HIGHEST,46,28,37,1190,697,160,74%,9%,4%,5%,76%,30%,2%,23
4556,HIGHEST,38,17,32,945,557,128,74%,10%,4%,7%,45%,26%,3%,23
4573,HIGHEST,6,2,6,170,178,31,84%,5%,0%,6%,0%,33%,5%,23
4612,HIGHEST,14,8,13,385,222,24,80%,0%,1%,6%,100%,30%,9%,23
4640,HIGHEST,173,80,154,4525,1059,400,76%,11%,7%,5%,47%,27%,1%,23
4652,HIGHEST,152,89,136,4131,727,294,63%,9%,15%,17%,31%,41%,5%,23
4667,HIGHEST,155,90,139,5543,536,268,73%,4%,13%,14%,22%,16%,4%,23
4736,HIGHEST,1075,642,935,28832,4139,2235,63%,9%,14%,15%,33%,23%,3%,23
4742,HIGHEST,366,179,320,10114,1303,651,67%,6%,8%,9%,84%,26%,3%,23
4762,HIGHEST,45,25,39,1215,200,97,43%,11%,21%,12%,14%,30%,0%,23
4769,HIGHEST,1060,593,929,29145,4157,1908,69%,7%,12%,16%,46%,22%,4%,23
4781,HIGHEST,44,20,35,1288,213,81,66%,4%,5%,8%,100%,30%,3%,23
4785,HIGHEST,365,199,327,10419,857,648,54%,8%,26%,25%,46%,37%,14%,23
4843,HIGHEST,198,119,179,5490,2373,801,84%,8%,6%,7%,47%,35%,6%,23
4858,HIGHEST,54,21,43,1460,558,90,85%,2%,5%,4%,45%,28%,1%,23
4861,HIGHEST,216,106,190,5745,1308,388,87%,3%,9%,8%,52%,29%,8%,23
4863,HIGHEST,43,20,41,1202,479,155,73%,3%,8%,5%,30%,46%,7%,23
4930,HIGHEST,487,292,388,12367,1954,950,62%,11%,12%,12%,50%,25%,6%,23
4943,HIGHEST,214,111,180,5601,756,480,62%,20%,9%,11%,52%,19%,1%,23
4963,HIGHEST,522,308,481,14689,3086,875,75%,10%,7%,6%,66%,20%,2%,23
5033,HIGHEST,151,85,122,4100,1272,728,64%,11%,13%,8%,65%,22%,1%,50
5042,HIGHEST,27,0,22,710,277,79,68%,8%,8%,2%,8%,41%,3%,50
5043,HIGHEST,7,0,4,117,537,102,61%,28%,4%,0%,14%,12%,6%,50
5055,HIGHEST,27,0,3,190,1220,272,84%,3%,1%,3%,28%,15%,4%,50
5061,HIGHEST,23,0,9,270,580,184,67%,7%,9%,2%,61%,23%,4%,50
5062,HIGHEST,9,4,5,150,190,82,73%,3%,6%,4%,85%,21%,4%,50
5069,HIGHEST,26,15,24,715,271,138,77%,3%,12%,2%,100%,20%,0%,50
5072,HIGHEST,7,4,6,179,260,87,83%,0%,1%,1%,16%,19%,1%,50
5075,HIGHEST,11,0,6,180,480,84,83%,2%,4%,2%,55%,22%,1%,50
5081,HIGHEST,64,36,55,1620,254,222,54%,17%,13%,6%,56%,19%,4%,50
5091,HIGHEST,29,7,10,300,1594,406,83%,3%,5%,7%,30%,27%,4%,50
5142,HIGHEST,14,5,2,60,260,91,72%,11%,1%,1%,55%,19%,1%,50
5146,HIGHEST,13,5,12,360,224,50,81%,5%,13%,3%,42%,32%,5%,50
5152,HIGHEST,2,0,1,0,172,52,43%,6%,8%,3%,65%,19%,6%,50
5154,HIGHEST,20,11,15,450,243,116,52%,12%,0%,16%,65%,15%,2%,50
5161,HIGHEST,10,0,1,0,288,60,82%,2%,4%,6%,8%,35%,9%,50
5262,HIGHEST,59,3,22,845,755,144,70%,2%,6%,2%,20%,20%,0%,50
5353,HIGHEST,23,13,7,210,569,172,51%,3%,8%,4%,38%,24%,3%,50
5355,HIGHEST,11,4,6,165,307,54,61%,9%,3%,10%,77%,27%,7%,50
5356,HIGHEST,17,2,11,318,323,87,59%,8%,1%,9%,16%,27%,9%,50
5403,HIGHEST,476,168,126,4219,8651,2338,77%,8%,7%,5%,48%,16%,12%,50
5443,HIGHEST,164,85,76,2430,2691,727,85%,3%,5%,5%,58%,18%,2%,50
5445,HIGHEST,41,0,22,660,1717,191,88%,4%,1%,3%,40%,21%,8%,50
5458,HIGHEST,79,35,24,818,873,194,75%,8%,7%,4%,60%,15%,2%,50
5464,HIGHEST,40,8,31,919,1131,342,68%,16%,3%,4%,46%,12%,3%,50
5465,HIGHEST,57,0,15,450,2236,284,76%,9%,2%,1%,48%,19%,1%,50
5472,HIGHEST,32,10,16,568,811,181,78%,5%,5%,4%,45%,22%,6%,50
5473,HIGHEST,23,0,14,420,580,101,84%,6%,4%,4%,37%,22%,5%,50
5477,HIGHEST,78,0,35,1050,1943,185,74%,3%,11%,4%,35%,17%,3%,50
5486,HIGHEST,26,15,8,240,581,92,77%,8%,3%,3%,39%,22%,2%,50
5602,HIGHEST,330,122,80,2811,5734,1732,73%,14%,7%,6%,39%,24%,4%,50
5641,HIGHEST,1473,855,1289,39993,7371,3750,73%,9%,9%,12%,47%,18%,2%,50
5649,HIGHEST,50,12,48,1425,192,110,39%,31%,12%,3%,100%,15%,2%,50
5651,HIGHEST,29,9,7,210,551,114,64%,24%,6%,5%,14%,20%,2%,50
5654,HIGHEST,99,57,85,2635,607,376,66%,24%,1%,3%,75%,10%,10%,50
5660,HIGHEST,22,6,16,480,733,198,68%,18%,4%,1%,12%,20%,2%,50
5675,HIGHEST,31,16,28,825,418,120,69%,8%,10%,2%,100%,22%,2%,50
5677,HIGHEST,42,4,9,358,865,96,76%,16%,1%,7%,58%,17%,1%,50
5679,HIGHEST,132,51,123,3730,1195,399,75%,10%,7%,7%,94%,18%,1%,50
5730,HIGHEST,15,0,10,300,153,19,90%,0%,2%,4%,79%,39%,6%,50
5736,HIGHEST,34,17,15,435,239,122,73%,4%,3%,0%,57%,22%,0%,50
5737,HIGHEST,11,6,3,90,242,58,82%,0%,1%,4%,54%,20%,1%,50
5738,HIGHEST,29,16,17,810,468,127,84%,4%,3%,3%,56%,22%,4%,50
5751,HIGHEST,30,0,16,630,311,35,75%,10%,3%,3%,46%,18%,14%,50
5753,HIGHEST,219,114,75,2763,3610,1205,77%,7%,4%,6%,40%,21%,12%,50
5758,HIGHEST,23,8,17,510,243,124,84%,4%,5%,1%,80%,22%,3%,50
5760,HIGHEST,15,5,9,249,355,96,69%,6%,10%,1%,60%,28%,2%,50
5769,HIGHEST,20,11,11,523,479,114,74%,5%,6%,4%,23%,26%,3%,50
5819,HIGHEST,691,400,601,19029,3868,2276,66%,11%,10%,15%,58%,22%,3%,50
5827,HIGHEST,8,0,7,199,159,78,72%,7%,4%,4%,38%,34%,9%,50
5851,HIGHEST,339,204,302,9385,2495,1349,56%,10%,11%,10%,61%,17%,3%,50
5866,HIGHEST,27,16,24,820,301,91,53%,12%,17%,8%,44%,18%,3%,50
5873,HIGHEST,19,11,17,510,344,88,48%,8%,10%,7%,10%,19%,3%,50
6001,HIGHEST,163,0,31,1230,7570,1391,84%,7%,4%,3%,50%,22%,19%,9
6013,HIGHEST,96,19,16,580,3318,499,90%,4%,3%,2%,43%,14%,6%,9
6019,HIGHEST,142,19,19,570,4173,767,86%,6%,10%,3%,66%,23%,8%,9
6021,HIGHEST,42,4,30,995,598,120,73%,10%,5%,4%,32%,19%,2%,9
6023,HIGHEST,21,9,6,180,693,162,71%,18%,5%,5%,0%,23%,20%,9
6026,HIGHEST,87,0,64,2080,1879,251,85%,7%,3%,3%,47%,17%,9%,9
6027,HIGHEST,17,9,10,400,601,141,89%,9%,1%,1%,16%,20%,2%,9
6029,HIGHEST,274,120,51,2130,6714,1458,86%,6%,4%,3%,37%,15%,7%,9
6033,HIGHEST,537,0,371,11430,11930,1992,84%,7%,5%,5%,45%,20%,14%,9
6035,HIGHEST,114,13,78,2440,3158,422,91%,4%,3%,6%,30%,21%,5%,9
6037,HIGHEST,338,74,77,2910,7412,1362,84%,3%,8%,3%,60%,21%,12%,9
6039,HIGHEST,22,0,4,120,729,195,90%,5%,3%,3%,46%,25%,5%,9
6057,HIGHEST,132,21,118,3575,2510,293,85%,4%,5%,2%,10%,16%,4%,9
6063,HIGHEST,58,0,45,1450,1220,183,79%,11%,2%,2%,34%,20%,4%,9
6067,HIGHEST,475,22,334,10380,8894,2376,73%,18%,5%,4%,34%,22%,28%,9
6069,HIGHEST,60,0,17,610,1171,391,77%,7%,6%,4%,56%,32%,15%,9
6070,HIGHEST,152,71,18,540,5813,1165,89%,5%,5%,5%,43%,20%,9%,9
6071,HIGHEST,169,100,124,3940,3400,397,83%,8%,5%,3%,37%,20%,4%,9
6073,HIGHEST,29,0,23,790,2148,251,85%,5%,2%,3%,39%,18%,8%,9
6074,HIGHEST,441,160,294,9000,9926,1492,86%,7%,6%,4%,50%,16%,18%,9
6078,HIGHEST,173,6,131,4210,3853,322,82%,10%,2%,4%,42%,18%,9%,9
6085,HIGHEST,173,39,37,1310,2898,532,84%,8%,4%,7%,48%,14%,18%,9
6088,HIGHEST,237,110,140,4400,2186,584,80%,9%,7%,8%,28%,23%,13%,9
6089,HIGHEST,46,0,4,220,1285,150,85%,2%,8%,1%,39%,14%,14%,9
6092,HIGHEST,15,0,2,60,1412,165,97%,1%,0%,3%,43%,12%,3%,9
6093,HIGHEST,55,13,43,1340,1356,91,86%,4%,8%,4%,58%,17%,1%,9
6098,HIGHEST,984,417,794,23858,4708,1887,78%,7%,7%,15%,49%,25%,5%,9
6107,HIGHEST,123,0,25,750,7912,793,85%,8%,3%,4%,37%,18%,13%,9
6109,HIGHEST,967,255,664,20945,11411,2287,76%,10%,7%,6%,58%,20%,14%,9
6111,HIGHEST,855,424,575,18068,12575,3150,72%,13%,8%,7%,36%,21%,20%,9
6117,HIGHEST,191,0,32,1060,5759,962,84%,9%,5%,5%,58%,22%,22%,9
6119,HIGHEST,502,277,132,4560,6482,1948,81%,9%,5%,9%,37%,15%,15%,9
6226,HIGHEST,3033,1728,2495,79935,6752,6314,73%,6%,9%,23%,55%,12%,12%,9
6231,HIGHEST,36,0,2,160,1384,185,89%,6%,1%,3%,46%,17%,4%,9
6232,HIGHEST,57,7,10,600,1178,177,90%,7%,1%,3%,46%,20%,6%,9
6234,HIGHEST,394,189,309,9930,2833,804,73%,10%,10%,4%,42%,17%,6%,9
6235,HIGHEST,100,40,87,2785,878,249,72%,12%,9%,6%,61%,18%,3%,9
6238,HIGHEST,374,102,292,9065,4780,958,83%,9%,4%,3%,30%,17%,5%,9
6242,HIGHEST,38,14,31,920,517,95,81%,8%,5%,5%,33%,18%,4%,9
6247,HIGHEST,72,31,65,1945,966,210,80%,7%,4%,5%,24%,19%,2%,9
6248,HIGHEST,58,15,9,370,2219,296,89%,2%,8%,3%,73%,18%,4%,9
6249,HIGHEST,291,44,168,5095,2847,666,85%,10%,4%,0%,27%,20%,4%,9
6255,HIGHEST,242,74,217,6535,1887,536,72%,13%,9%,8%,39%,21%,3%,9
6256,HIGHEST,244,84,216,6600,919,322,87%,8%,3%,10%,35%,18%,3%,9
6259,HIGHEST,87,21,67,1995,1762,412,77%,6%,6%,6%,65%,20%,4%,9
6279,HIGHEST,320,172,282,8400,2542,1146,77%,7%,4%,10%,63%,19%,7%,9
6281,HIGHEST,146,42,128,3815,2939,638,82%,5%,5%,2%,41%,17%,2%,9
6282,HIGHEST,23,0,16,480,487,0,84%,10%,0%,0%,0%,32%,2%,9
6331,HIGHEST,189,95,149,4635,2144,501,78%,5%,15%,3%,65%,19%,3%,9
6355,HIGHEST,149,0,42,1460,5192,867,81%,9%,5%,3%,29%,28%,8%,9
6357,HIGHEST,280,133,99,3805,4847,1376,82%,8%,5%,5%,52%,29%,9%,9
6371,HIGHEST,126,0,14,520,4016,604,82%,12%,4%,3%,45%,24%,7%,9
6378,HIGHEST,60,0,7,210,2665,401,84%,9%,4%,4%,30%,31%,4%,9
6403,HIGHEST,112,49,17,495,2631,571,82%,10%,3%,4%,23%,23%,6%,9
6405,HIGHEST,689,250,146,5130,12686,3178,83%,8%,6%,6%,56%,25%,9%,9
6410,HIGHEST,349,96,252,7590,9900,1488,81%,7%,6%,5%,43%,20%,11%,9
6412,HIGHEST,60,27,11,330,1548,362,87%,4%,5%,4%,50%,27%,6%,9
6413,HIGHEST,274,56,35,1650,5400,902,82%,9%,5%,4%,60%,22%,7%,9
6415,HIGHEST,329,191,51,1730,6333,1481,84%,7%,6%,5%,47%,16%,5%,9
6417,HIGHEST,79,39,18,740,2061,344,80%,6%,8%,7%,46%,20%,11%,9
6420,HIGHEST,64,0,7,310,1695,311,84%,9%,2%,1%,6%,17%,5%,9
6422,HIGHEST,65,1,16,880,3019,454,80%,9%,3%,4%,49%,19%,3%,9
6423,HIGHEST,55,15,5,300,2223,780,75%,10%,7%,1%,25%,28%,4%,9
6424,HIGHEST,204,122,34,1270,4731,790,81%,9%,4%,3%,36%,17%,4%,9
6426,HIGHEST,35,0,1,30,1621,406,94%,3%,4%,4%,40%,35%,12%,9
6437,HIGHEST,234,0,21,630,8665,1592,86%,7%,4%,4%,53%,25%,9%,9
6438,HIGHEST,35,10,7,210,986,115,83%,5%,9%,6%,39%,21%,2%,9
6442,HIGHEST,37,8,8,240,980,180,75%,13%,4%,5%,24%,19%,6%,9
6443,HIGHEST,111,0,12,460,6719,785,92%,4%,3%,4%,68%,23%,7%,9
6460,HIGHEST,751,349,229,7955,15863,3444,76%,11%,6%,6%,46%,20%,11%,9
6468,HIGHEST,287,46,237,7220,6274,838,85%,7%,3%,3%,60%,15%,11%,9
6469,HIGHEST,91,46,10,500,1298,412,79%,13%,2%,3%,26%,15%,2%,9
6470,HIGHEST,235,1,201,6095,5587,653,86%,6%,5%,4%,53%,18%,9%,9
6472,HIGHEST,79,22,7,205,2203,441,85%,11%,2%,1%,14%,18%,5%,9
6475,HIGHEST,135,70,17,660,4584,995,84%,7%,5%,7%,59%,28%,6%,9
6477,HIGHEST,105,0,25,750,5169,604,87%,7%,3%,3%,58%,23%,15%,9
6478,HIGHEST,140,6,24,820,4781,559,86%,8%,5%,2%,25%,20%,9%,9
6480,HIGHEST,256,138,63,2075,3564,952,81%,10%,6%,4%,57%,17%,4%,9
6481,HIGHEST,26,10,2,60,608,234,55%,9%,2%,4%,72%,28%,4%,9
6482,HIGHEST,163,62,135,4080,4068,815,90%,5%,2%,4%,20%,16%,6%,9
6483,HIGHEST,463,279,96,3930,6432,1826,75%,9%,7%,4%,47%,16%,8%,9
6488,HIGHEST,363,0,217,6750,8029,1609,81%,6%,8%,4%,54%,29%,7%,9
6489,HIGHEST,782,273,562,18050,12722,2762,85%,6%,6%,3%,45%,20%,12%,9
6498,HIGHEST,148,6,14,520,3494,1050,76%,11%,4%,3%,65%,32%,14%,9
6524,HIGHEST,57,0,12,760,1768,118,88%,5%,3%,0%,29%,18%,10%,9
6525,HIGHEST,70,0,16,580,3057,459,88%,6%,1%,1%,53%,22%,18%,9
6611,HIGHEST,595,10,480,14560,12282,1846,84%,7%,6%,3%,59%,18%,17%,9
6612,HIGHEST,31,0,6,180,2719,363,87%,8%,3%,4%,13%,19%,9%,9
6712,HIGHEST,135,20,21,680,3238,487,85%,6%,3%,2%,53%,22%,9%,9
6716,HIGHEST,423,54,95,4600,6173,825,77%,10%,4%,3%,43%,20%,7%,9
